"id","name","description","common_mistakes","difficulty","video_link","alt_names"
"1","Ollie","The foundation of street skating, the first trick you should learn. Place your back foot on the tail and your front foot in the middle of the board. Pop the tail and slide your front foot up the board. Jump and level out the board with your front foot.","[Not leveling out the board] Make sure you are sliding your foot into the board and not just up it. This will help you level it out. [Not jumping after you pop] If you find yourself not getting off the ground after you pop, more than likely you aren't jumping. Make sure you jump off of your back foot when you pop the tail. This will help you with your height.","2","ollie.mp4",""
"2","No Comply","A trick where you step off the board with your front foot, pop the tail with your back foot, and then jump back onto the board. Start with your front foot behind the front bolts. Step off with your front foot, simultaneously popping the tail with your back foot. As the board rises, slide your back foot forward and jump back onto the board with both feet.","[Stepping off too early] Make sure you step off and pop almost simultaneously. [Not popping enough] Remember to give a solid pop with your back foot to get the board off the ground. [Forgetting to jump] After stepping off, you need to jump back onto the board.","2","no_comply.mp4","No-comply"
"3","No Comply 180","A variation of the No Comply where the board rotates 180 degrees. Start like a regular No Comply, but as you step off, use your back foot to guide the board in a 180-degree rotation. Jump back onto the board as it completes the rotation.","[Not rotating enough] Make sure to use your shoulders to guide the full 180-degree rotation. [Landing with the wrong foot forward] Remember that after the rotation, your stance will be switched. [Poor timing] Coordinate your step-off, pop, and jump back on with the board's rotation.","1","no_comply_180.mp4","NC 180"
"4","Kickturn","A fundamental trick where you lift the front wheels and pivot on the back wheels to change direction. Place your back foot on the tail and your front foot over the front trucks. Lean back slightly to lift the front wheels, then use your shoulders and hips to guide the turn.","[Not lifting the front wheels enough] Make sure to press down on the tail to get the front wheels clear of the ground. [Losing balance] Keep your core engaged and knees bent for stability. [Turning too sharply] Start with small turns and gradually increase the angle as you get comfortable.","1","kickturn.mp4","Pivot"
"5","Frontside 180","A trick where you and your board rotate 180 degrees frontside while in the air. Set up like an Ollie, but as you pop, wind up your upper body in the opposite direction of the spin. As you jump, unwind your body to initiate the 180-degree rotation. Land with your feet over the bolts.","[Not winding up enough] Make sure to wind up your shoulders before you pop for maximum rotation. [Incomplete rotation] Commit to the full 180 degrees by following through with your shoulders and hips. [Landing off-balance] Keep your eyes on where you want to land and try to spot your landing.","3","frontside_180.mp4","Front 180,FS 180,Ollie Frontside 180"
"6","Backside 180","Similar to the Frontside 180, but rotating in the opposite direction. Set up like an Ollie, wind up your upper body in the direction of the spin. As you pop and jump, use your shoulders and hips to guide the 180-degree rotation. Land with your feet over the bolts, now riding switch.","[Under-rotating] Make sure to turn your head to look over your back shoulder to complete the rotation. [Sliding out on landing] Keep your weight centered over the board as you land. [Popping at an angle] Try to keep your Ollie straight up, letting your body create the rotation.","3","backside_180.mp4","Back 180,BS 180,Ollie Backside 180"
"7","Manual","A wheelie on your back wheels. Start with your back foot on the tail and front foot over the front bolts. Shift your weight back to lift the front wheels, finding the balance point. Keep your arms out for balance and your knees bent.","[Leaning too far back] Find the sweet spot where you're balanced - not so far back that you fall off. [Not keeping your shoulders parallel] Keep your shoulders in line with the board to maintain direction. [Stiff legs] Keep your knees bent to absorb small adjustments and maintain balance.","3","manual.mp4","Manny, Wheelie"
"8","Nose Manual","Like a Manual, but on the front wheels. Start with your front foot on the nose and back foot behind the back bolts. Shift your weight forward to lift the back wheels, finding the balance point. Use your arms and knees to maintain balance.","[Leaning too far forward] Find the balance point where you're not at risk of the board slipping out. [Looking down] Keep your head up and look forward to maintain balance. [Forgetting to bend knees] Bent knees allow for quicker adjustments to keep the manual going.","4","nose_manual.mp4",""
"9","Shuvit","A trick where the board rotates 180 degrees horizontally without flipping. Place your back foot on the tail and front foot in the middle. Scoop the tail backwards while simultaneously jumping. The board should rotate beneath you. Land with both feet over the bolts.","[Not jumping high enough] Remember to jump up as you scoop to allow the board to rotate beneath you. [Incomplete rotation] Scoop more aggressively with your back foot to ensure full rotation. [Landing with one foot] Try to catch the board with both feet at the same time for better control.","1","shuvit.mp4","Shove-it,Shuv,BS Shuvit"
"10","Fakie Shuvit","Performing a Shuvit while riding fakie (backwards). Set up like a regular Shuvit but while rolling fakie. Scoop the nose of the board with your front foot while jumping. The mechanics are similar to a regular Shuvit, but you're scooping in the opposite direction.","[Leaning back too much] Try to keep your weight centered over the board. [Rotating with your body] Let the board do the rotating - your body should stay relatively still. [Catching with your back foot] Focus on landing with both feet, or even slightly more on your front foot.","1","fakie_shuvit.mp4","Fakie Shuv,Fakie Shove-it"
"11","Nollie Shuvit","A Shuvit performed from the nose of the board. Start with your front foot on the nose and back foot behind the back bolts. Pop the nose with your front foot and scoop forward, allowing the board to rotate 180 degrees beneath you. Jump and land back on the board.","[Not popping enough] Make sure to give a crisp pop with your front foot. [Rotating your body] Keep your body still and let the board do the rotating. [Landing too far back] Focus on staying over the board throughout the trick.","2","nollie_shuvit.mp4","Nollie Shuv,Nollie Shove-it, Nollie BS Shuvit"
"12","Nollie Frontside Shuvit","Like a Nollie Shuvit, but the board rotates frontside (towards your heels). Pop with your front foot on the nose and scoop towards your heels. The board should rotate 180 degrees frontside beneath you. Jump and land back on the board.","[Scooping in the wrong direction] Make sure you're scooping towards your heels for the frontside rotation. [Rotating your upper body] Try to keep your shoulders parallel to the board. [Landing with your weight too far forward] Focus on staying centered over the board throughout the trick.","2","nollie_frontside_shuvit.mp4","Nollie Front Shuv,Nollie FS Shuvit"
"13","Boneless","A trick where you grab the board with your front hand, step off with your front foot, then jump back on. Start by bending down and grabbing the middle of the board with your front hand. Step off with your front foot, lift the board with your hand and back foot, then jump and bring the board with you. Land with both feet on the bolts.","[Not grabbing the board properly] Make sure you have a solid grip on the middle of the board. [Stepping off with the wrong foot] Always step off with your front foot. [Not lifting the board high enough] Use both your hand and back foot to really lift the board off the ground. [Forgetting to jump] Remember to jump up after stepping off, bringing the board with you.","3","boneless.mp4",""
"14","Powerslide","A technique to stop or slow down by turning the board sideways and sliding. Approach with moderate speed, then shift your weight onto your back foot while turning the board 90 degrees. Push the board out in front of you and apply pressure to the wheels to initiate the slide.","[Not committing to the slide] Fully commit to turning the board sideways to avoid catching an edge. [Leaning too far back] While you need to shift weight to your back foot, don't lean so far that you lose control. [Not bending your knees] Keep your knees bent to maintain balance and control throughout the slide.","2","powerslide.mp4",""
"15","Fakie Backside 180","A 180-degree backside rotation performed while riding fakie. Start in fakie stance, wind up your upper body in the direction of the spin. As you pop, use your shoulders and hips to guide the rotation. Land with your feet over the bolts, now riding in your regular stance.","[Not winding up enough] Wind up your shoulders before popping to generate more rotation. [Popping too weakly] Give a solid pop to get enough air time for the full rotation. [Over-rotating] Control your spin by spotting your landing and keeping your shoulders in line with the board.","4","fakie_backside_180.mp4","Fakie Back 180,Half Cab"
"16","Fakie Frontside 180","A 180-degree frontside rotation while riding fakie. Begin in fakie stance and wind up your upper body opposite to the spin direction. Pop and use your shoulders to initiate the frontside rotation. Land with your feet over the bolts, ending up in your regular stance.","[Under-rotating] Make sure to turn your head and shoulders fully to complete the rotation. [Leaning back on takeoff] Keep your weight centered over the board throughout the trick. [Landing in fakie] Remember that you'll land in your regular stance - be prepared for the switch in momentum.","4","fakie_frontside_180.mp4","Fakie Front 180"
"17","Nollie Backside 180","A 180-degree backside rotation performed from a nollie. Start with your front foot on the nose, wind up your body in the spin direction. Pop off the nose and use your shoulders to guide the backside rotation. Land with both feet over the bolts, now riding switch.","[Not popping enough] Ensure a strong pop off the nose to get enough height for the rotation. [Rotating too early] Let the pop happen before initiating the rotation. [Landing with weight on back foot] Try to keep your weight centered or slightly forward when landing.","5","nollie_backside_180.mp4","Nollie Back 180,Nollie BS 180"
